case,profile,selection_uses_heldout,calibration_only_promotion_rule,train_start_date,train_end_date,test_start_date,test_end_date,cvar_optimized_status,bernstein_optimized_status,cantelli_optimized_status,cvar_calibration_joint_violation,cvar_heldout_joint_violation_reported_not_used,bernstein_heldout_joint_violation_reported_not_used,cvar_relative_improvement,bernstein_relative_improvement,cantelli_relative_improvement,promotion_eligible,promotion_score,promotion_reason,n_heldout_days,nominal_exceeds_selected_risk_limit,calibration_baseline_joint_violation,calibration_joint_violation_band_low,calibration_joint_violation_band_high
french,french_higher_target_return,False,False,2013-01-16,2018-12-31,2019-01-02,2022-12-19,success,success,fallback_equal,0.016,0.049,0.088,0.0716639468806223,0.1349521569606273,0.0,False,-inf,French sensitivity is a robustness audit only; keep the predeclared main profile,,,,,
french,french_lower_target_return,False,False,2013-01-16,2018-12-31,2019-01-02,2022-12-19,success,success,fallback_equal,0.0146666666666666,0.048,0.08,0.0794744738794363,0.1362603199100062,0.0,False,-inf,French sensitivity is a robustness audit only; keep the predeclared main profile,,,,,
french,french_main_2010_2024,False,False,2013-01-16,2018-12-31,2019-01-02,2022-12-19,success,success,fallback_equal,0.0146666666666666,0.048,0.075,0.0794744738797219,0.1362645505900713,0.0,False,-inf,French sensitivity is a robustness audit only; keep the predeclared main profile,,,,,
french,french_recent_2016_2024,False,False,2016-01-04,2020-12-31,2021-01-04,2024-12-23,success,success,fallback_equal,0.0158856235107227,0.01,0.025,0.0730602839676579,0.1350665779178488,0.0,False,-inf,French sensitivity is a robustness audit only; keep the predeclared main profile,,,,,
m5,m5_original_full_year,False,True,,,,,success,,,0.0136986301369863,0.3534246575342465,,0.0472723875587205,,0.0499279161386499,False,-inf,failed predeclared M5 promotion rule,365.0,,,,
m5,m5_stable_180d,False,True,,,,,success,,,0.0136986301369863,0.1666666666666666,,0.0464396874967197,,0.0546738386020679,True,0.060108147147236675,near-term stable calibration-valid CVaR profile,180.0,,,,
m5,m5_stable_90d,False,True,,,,,success,,,0.0150684931506849,0.1666666666666666,,0.0473713830114689,,0.0490779639091333,True,0.05964087398875222,near-term stable calibration-valid CVaR profile,90.0,,,,
power,power_cvar_active_balanced,False,True,,,,,fallback_equal,failed,,,0.08,0.1033333333333333,0.0,0.0102761468655189,,False,-inf,failed predeclared Power promotion rule,,0.0,0.19,0.08,0.35
power,power_more_diverse_branches,False,True,,,,,fallback_equal,failed,,,0.07,0.09,0.0,0.0017279403589252,,False,-inf,failed predeclared Power promotion rule,,0.0,0.17,0.06,0.32
power,power_original_balanced,False,True,,,,,fallback_equal,success,,,0.07,0.0633333333333333,0.0,0.0227378118460654,,True,0.0227378118460654,balanced calibration-valid Power profile with accepted optimized allocation,,0.0,0.13,0.05,0.3
