case,certificate,allocation,objective,relative_improvement,calibration_joint_violation,heldout_joint_violation,calibration_average_scalar_violations,heldout_average_scalar_violations,calibration_max_scalar_violations,heldout_max_scalar_violations,empirical_joint_violation,average_scalar_violations,max_scalar_violations,runtime,majorization_iterations,stationarity_residual,feasibility_residual,sum_alpha,certificate_residual_max,budget_residual,calibration_max_violation_tolerance,heldout_max_violation_tolerance,max_budget_share,normalized_entropy,valid_certificate,valid_optimization,fallback_used,fallback_reason,failure_reason,algorithm_class,certificate_accept_tol,certificate_strict_tol,passes_certificate_acceptance,passes_certificate_strict,certificate_acceptance_status,calibration_jvp_bound_applies,calibration_jvp_within_budget,calibration_jvp_contract,result_status,solver_status,evaluation_split,calibration_emergency_joint_violation,heldout_emergency_joint_violation,calibration_cont_overload_rate,heldout_cont_overload_rate,normalized_certificate_residual_max,optimization_note,primary_rating,mean_lte_multiplier,mean_ste_multiplier,n_nominal_cont_overloaded,n_nominal_lte_overloaded,weight_sum
m5,cvar,equal,21867.679007446015,0.0,0.0,0.3424657534246575,0.0,0.4602739726027397,0,5,0.3424657534246575,0.4602739726027397,5,5.704216124955565,0,3.6629838349813476e-08,3.6629838349813476e-08,0.05,3.6629838349813476e-08,2.0816681711721685e-17,0.0006260000243768,0.0006260000243768,0.0066666666666666,0.9999999999999994,True,False,False,,,fixed_equal_certificate,0.0001,1e-06,True,True,accepted,True,True,finite_sample_cvar_bound_observed,success,optimal,out_of_sample,,,,,,,,,,,,
m5,cvar,optimized,20833.94161039633,0.0472723875587205,0.0136986301369863,0.3534246575342465,0.0136986301369863,0.4712328767123288,1,5,0.3534246575342465,0.4712328767123288,5,0.3742896249750629,5,1.4210854715202004e-14,1.4210854715202004e-14,0.05,1.4210854715202004e-14,6.938893903907228e-18,0.0006260000009999,0.0006260000009999,0.9999702008880132,9.768208901987508e-05,True,True,False,,,paper_separable_equivalent,0.0001,1e-06,True,True,accepted,True,True,finite_sample_cvar_bound_observed,success,separable_cvar_allocation:Optimization terminated successfully,out_of_sample,,,,,,,,,,,,
m5,bernstein,equal,10898.509651758388,0.0,0.7178082191780822,0.8849315068493151,1.4493150684931506,2.9534246575342467,9,14,0.8849315068493151,2.9534246575342467,14,0.0051929579349234,0,2.6138952605947452e-05,2.6138952605947452e-05,0.05,2.6138952605947452e-05,2.0816681711721685e-17,0.0006260000009999,0.0002282032594577,0.0066666666666666,0.9999999999999994,True,False,False,,,fixed_equal_certificate,0.0001,1e-06,True,False,accepted,False,False,not_implied_by_moment_certificate,success,optimal,out_of_sample,,,,,,,,,,,,
m5,bernstein,optimized,10898.509651758388,0.0,0.7178082191780822,0.8849315068493151,1.4493150684931506,2.9534246575342467,9,14,0.8849315068493151,2.9534246575342467,14,4.4344442919828,25,2.6138952605947452e-05,2.6138952605947452e-05,0.05,2.6138952605947452e-05,2.0816681711721685e-17,0.0006260000009999,0.0002282032594577,0.0066666666666666,0.9999999999999994,True,False,True,bernstein_optimized_fallback_equal_feasible:dca_candidate_feasibility=0.955422,,paper_dca_attempt_fallback,0.0001,1e-06,True,False,accepted,False,False,not_implied_by_moment_certificate,fallback_equal,bernstein_optimized_fallback_equal_feasible:dca_candidate_feasibility=0.955422,out_of_sample,,,,,,,,,,,,
m5,cantelli,equal,135145.0611563805,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0001072499435395,0,7.105427357601002e-15,7.105427357601002e-15,0.05,7.105427357601002e-15,2.0816681711721685e-17,0.0029532115747575,0.0029532115747575,0.0066666666666666,0.9999999999999994,True,False,False,,,fixed_equal_certificate,0.0001,1e-06,True,True,accepted,False,True,not_implied_by_moment_certificate,success,closed_form_fixed_alpha,out_of_sample,,,,,,,,,,,,
m5,cantelli,optimized,128397.54987641204,0.0499279161386499,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1.762334332917817,0,7.105427357601002e-15,7.105427357601002e-15,0.05,7.105427357601002e-15,0.0,0.0019742852131616,0.0019742852131616,0.0189402441134077,0.9872831086672538,True,True,False,,,paper_separable_equivalent,0.0001,1e-06,True,True,accepted,False,True,not_implied_by_moment_certificate,success,separable_cantelli_budget_bisection,out_of_sample,,,,,,,,,,,,
power,cvar,equal,79638.24411235456,0.0,0.01,0.07,0.01,0.1733333333333333,1,3,0.07,0.1733333333333333,3,0.3613441670313477,0,5.100622905775301e-08,5.100622905775301e-08,0.0499999999999999,5.100622905775301e-08,0.0,1.000001e-06,1.000001e-06,0.0555555555555555,1.0000000000000002,True,False,False,,,fixed_equal_certificate,0.0001,1e-06,True,True,accepted,True,True,finite_sample_cvar_bound_observed,success,optimal,out_of_sample,0.01,0.07,0.18,0.1033333333333333,5.100622905775301e-08,,ste,1.196190476190476,1.2523809523809524,0.0,0.0,
power,cvar,optimized,79638.24411235456,0.0,0.01,0.07,0.01,0.1733333333333333,1,3,0.07,0.1733333333333333,3,0.3375789999263361,1,5.100622905775301e-08,5.100622905775301e-08,0.0499999999999999,5.100622905775301e-08,0.0,1.000001e-06,1.000001e-06,0.0555555555555555,1.0000000000000002,True,False,True,cvar_optimized_fallback_equal_objective_dominates:dca_candidate_objective=79638.3,,paper_dca_attempt_fallback,0.0001,1e-06,True,True,accepted,True,True,finite_sample_cvar_bound_observed,fallback_equal,cvar_optimized_fallback_equal_objective_dominates:dca_candidate_objective=79638.3,out_of_sample,0.01,0.07,0.18,0.1033333333333333,5.100622905775301e-08,,ste,1.196190476190476,1.2523809523809524,0.0,0.0,
power,bernstein,equal,81351.8944170128,0.0,0.0,0.05,0.0,0.1233333333333333,0,3,0.05,0.1233333333333333,3,0.0096025420352816,0,1.573790376352413e-07,1.573790376352413e-07,0.0499999999999999,1.573790376352413e-07,0.0,1.000001e-06,1.000001e-06,0.0555555555555555,1.0000000000000002,True,False,False,,,fixed_equal_certificate,0.0001,1e-06,True,True,accepted,False,True,not_implied_by_moment_certificate,success,optimal,out_of_sample,0.0,0.05,0.01,0.08,1.573790376352413e-07,,ste,1.196190476190476,1.2523809523809524,0.0,0.0,
power,bernstein,optimized,79502.13034843777,0.0227378118460654,0.01,0.0633333333333333,0.01,0.1,1,3,0.0633333333333333,0.1,3,0.0569586670026183,4,4.3809308101758374e-05,1.0633433636608736e-05,0.05,1.0633433636608736e-05,0.0,1.000001e-06,1.000001e-06,0.9080378354349908,0.1256325553913735,True,True,False,,,paper_dca,0.0001,1e-06,True,False,accepted,False,True,not_implied_by_moment_certificate,success,optimal,out_of_sample,0.01,0.0633333333333333,0.08,0.0933333333333333,1.0633433636608736e-05,,ste,1.196190476190476,1.2523809523809524,0.0,0.0,
