case,certificate,allocation,result_status,solver_status,fallback_used,sum_alpha,certificate_residual_max,budget_residual,feasibility_residual,certificate_accept_tol,calibration_max_violation_tolerance,calibration_joint_violation,calibration_jvp_bound_applies,calibration_jvp_within_budget,calibration_jvp_contract,heldout_joint_violation
m5,cvar,equal,success,optimal,False,0.05,3.6629838349813476e-08,2.0816681711721685e-17,3.6629838349813476e-08,0.0001,0.0006260000243768,0.0,True,True,finite_sample_cvar_bound_observed,0.3424657534246575
m5,cvar,optimized,success,separable_cvar_allocation:Optimization terminated successfully,False,0.05,1.4210854715202004e-14,6.938893903907228e-18,1.4210854715202004e-14,0.0001,0.0006260000009999,0.0136986301369863,True,True,finite_sample_cvar_bound_observed,0.3534246575342465
m5,bernstein,equal,success,optimal,False,0.05,2.6138952605947452e-05,2.0816681711721685e-17,2.6138952605947452e-05,0.0001,0.0006260000009999,0.7178082191780822,False,False,not_implied_by_moment_certificate,0.8849315068493151
m5,bernstein,optimized,fallback_equal,bernstein_optimized_fallback_equal_feasible:dca_candidate_feasibility=0.955422,True,0.05,2.6138952605947452e-05,2.0816681711721685e-17,2.6138952605947452e-05,0.0001,0.0006260000009999,0.7178082191780822,False,False,not_implied_by_moment_certificate,0.8849315068493151
m5,cantelli,equal,success,closed_form_fixed_alpha,False,0.05,7.105427357601002e-15,2.0816681711721685e-17,7.105427357601002e-15,0.0001,0.0029532115747575,0.0,False,True,not_implied_by_moment_certificate,0.0
m5,cantelli,optimized,success,separable_cantelli_budget_bisection,False,0.05,7.105427357601002e-15,0.0,7.105427357601002e-15,0.0001,0.0019742852131616,0.0,False,True,not_implied_by_moment_certificate,0.0
power,cvar,equal,success,optimal,False,0.0499999999999999,5.100622905775301e-08,0.0,5.100622905775301e-08,0.0001,1.000001e-06,0.01,True,True,finite_sample_cvar_bound_observed,0.07
power,cvar,optimized,fallback_equal,cvar_optimized_fallback_equal_objective_dominates:dca_candidate_objective=79638.3,True,0.0499999999999999,5.100622905775301e-08,0.0,5.100622905775301e-08,0.0001,1.000001e-06,0.01,True,True,finite_sample_cvar_bound_observed,0.07
power,bernstein,equal,success,optimal,False,0.0499999999999999,1.573790376352413e-07,0.0,1.573790376352413e-07,0.0001,1.000001e-06,0.0,False,True,not_implied_by_moment_certificate,0.05
power,bernstein,optimized,success,optimal,False,0.05,1.0633433636608736e-05,0.0,1.0633433636608736e-05,0.0001,1.000001e-06,0.01,False,True,not_implied_by_moment_certificate,0.0633333333333333
power,cantelli,equal,infeasible,failed_solver_failed:CLARABEL: status=infeasible | ECOS: status=infeasible | SCS: status=infeasible,False,0.0499999999999999,inf,0.0,inf,0.0001,1.000001e-06,0.13,False,False,not_applicable_certificate_not_accepted,0.0733333333333333
power,cantelli,optimized,failed,failed_equal_warm_start_invalid,False,0.0499999999999999,inf,0.0,inf,0.0001,1.000001e-06,0.13,False,False,not_applicable_certificate_not_accepted,0.0733333333333333
french,cvar,equal,success,separable_cvar_fixed_alpha_lp,False,0.05,5.447480642029218e-19,0.0,5.447480642029218e-19,0.0001,8.256999999999999e-09,0.0046666666666666,True,True,finite_sample_cvar_bound_observed,0.025
french,cvar,optimized,success,separable_cvar_scipy_slsqp,False,0.0499999999999999,3.8518598887744726e-34,0.0,8.881784197001252e-16,0.0001,8.256999999999997e-09,0.0146666666666666,True,True,finite_sample_cvar_bound_observed,0.048
french,bernstein,equal,success,optimal,False,0.05,1.4287086894451686e-07,0.0,1.4287086894451686e-07,0.0001,6.180942005629614e-09,0.0333333333333333,False,True,not_implied_by_moment_certificate,0.106
french,bernstein,optimized,success,optimal,False,0.0499999754578474,1.8001119428683217e-07,0.0,1.8001119428683217e-07,0.0001,6.180980327258809e-09,0.0246666666666666,False,True,not_implied_by_moment_certificate,0.075
french,cantelli,equal,success,optimal,False,0.05,2.6705818112482405e-11,0.0,2.6705818112482405e-11,0.0001,3.3161968199687156e-08,0.0,False,True,not_implied_by_moment_certificate,0.0
french,cantelli,optimized,fallback_equal,cantelli_optimized_fallback_equal_feasible:Optimization terminated successfully;fallback_budget_used=0.00918367,True,0.05,2.6705818112482405e-11,0.0,2.6705818112482405e-11,0.0001,3.3161968199687156e-08,0.0,False,True,not_implied_by_moment_certificate,0.0
