method,m,heterogeneity,equal_objective,optimized_objective,improvement_percent,max_share,entropy,exact_joint_violation,improvement_percent_std,replications
bernstein,20,0.0,69.23273530409142,69.23273530409142,0.0,0.04999999999999998,1.0,0.005355342024033333,0.0,30
bernstein,20,0.5,69.23273530409142,68.45576395642881,1.1222600757429368,0.12246990249009473,0.9514222653266479,0.00542643844894861,0.3959318576575928,30
bernstein,20,1.0,69.23273530409142,66.4327380159155,4.044325673220133,0.23110461014172545,0.8294191515435186,0.005614288992162364,1.499739647970514,30
bernstein,20,1.5,69.23273530409142,63.928472301772864,7.661495648006114,0.34829781908564983,0.6879865515793683,0.005846004293926325,2.8141975393729104,30
bernstein,50,0.0,185.84610944249192,185.84610944249192,0.0,0.02,0.9999999999999999,0.005029178285507605,0.0,30
bernstein,50,0.5,185.84610944249192,184.137421948117,0.9194098813801975,0.059195091700185845,0.9651147144033965,0.005083103842110768,0.2355433582179221,30
bernstein,50,1.0,185.84610944249192,179.11562210003243,3.621537928692636,0.139866341610011,0.8647022115993723,0.0052511396342580785,1.4146116957153276,30
bernstein,50,1.5,185.84610944249192,171.83838358518008,7.537271508848219,0.24858876906364819,0.728880882229107,0.005500432044938921,3.57361425027087,30
bernstein,100,0.0,389.894920704081,389.8949207040099,1.822395466134789e-11,0.009999999999999998,0.9999999999999997,0.004819019567267526,0.0,30
bernstein,100,0.5,389.894920704081,386.53323359438195,0.8622033607487068,0.032038802379437854,0.9696476093515989,0.004866655397799794,0.1388040772666186,30
bernstein,100,1.0,389.8949207040811,376.8250573613093,3.3521501945113674,0.08008421760379454,0.8836190215859429,0.005009847661440374,0.7504583971244699,30
bernstein,100,1.5,389.8949207040811,362.6007087221832,7.0004020397622435,0.15550472003307725,0.7633465083957663,0.005228720621691102,1.9285886219339419,30
cantelli,20,0.0,399.49968710876345,399.49968710876345,0.0,0.04999999999999998,1.0,9.091232271089766e-88,0.0,30
cantelli,20,0.5,399.49968710876357,383.31099951405884,4.052240368913567,0.08901737660754995,0.9814121499434533,2.7160443740584677e-41,1.3678360957525164,30
cantelli,20,1.0,399.4996871087635,343.1914878378789,14.094679191965112,0.1433914196746187,0.9291258505565996,6.841483223144371e-22,4.611931119377877,30
cantelli,20,1.5,399.49968710876357,296.7042445209424,25.73104458022647,0.20940669573342957,0.8534787407052408,7.062284873387384e-14,7.697324716549036,30
cantelli,50,0.0,1580.3480629279106,1580.3480629216376,3.9693865414567725e-10,0.02,0.9999999999999999,7.405765743059434e-218,0.0,30
cantelli,50,0.5,1580.3480629279109,1519.6742960647164,3.8392660633749336,0.03995695124805164,0.9866226359164828,5.0469763658409464e-73,0.9012092123939826,30
cantelli,50,1.0,1580.3480629279109,1356.8341128028403,14.143336861562402,0.07357797423522716,0.9470837939744972,1.1951349695569726e-28,4.056726561591806,30
cantelli,50,1.5,1580.3480629279109,1148.4029132920991,27.332279500222683,0.1234149086250961,0.8838878739390698,1.2906265031627173e-14,8.463508422465113,30
cantelli,100,0.0,4471.01778122163,4471.01778122163,0.0,0.009999999999999997,0.9999999999999997,0.0,0.0,30
cantelli,100,0.5,4471.017781221632,4292.45679296277,3.993743639509134,0.02119754222342334,0.988166197775439,5.524570038452207e-162,0.5904435018801705,30
cantelli,100,1.0,4471.017781221631,3816.276659039238,14.644118055900371,0.04073563885545243,0.9533759083067258,1.6074729303607154e-70,2.588301332925055,30
cantelli,100,1.5,4471.017781221632,3200.9848878606595,28.405901195363988,0.0708458992514273,0.8983744018151596,5.062375885822171e-37,5.486167863792398,30
cvar,20,0.0,62.08714726407079,62.08714726407077,2.2888561226303407e-14,0.049999999999999996,1.0,0.018897541258535065,0.0,30
cvar,20,0.5,62.08714726407079,61.287563989915846,1.2878402525954904,0.12243883859335651,0.9514346933606558,0.018918455391308084,0.4542918930359438,30
cvar,20,1.0,62.08714726407079,59.20630340826995,4.6400003587666045,0.23093615819938595,0.8295230237980625,0.01897655836361326,1.719892785187632,30
cvar,20,1.5,62.08714726407079,56.6310920717058,8.78773696778038,0.3479452357767657,0.6882335105441275,0.019052933205058496,3.2253179773743335,30
cvar,50,0.0,168.35450385319976,168.35450385319973,1.6882060639843002e-14,0.02,0.9999999999999999,0.01881580581813526,0.0,30
cvar,50,0.5,168.35450385319976,166.59558094853426,1.0447732994415366,0.05920283755199959,0.9650945278516212,0.01882987409532054,0.2676425302144314,30
cvar,50,1.0,168.35450385319976,161.4272878855697,4.114660320385824,0.1398162646606623,0.8646933509724204,0.018876646379520558,1.6062671122527235,30
cvar,50,1.5,168.35450385319973,153.9408073489941,8.561515239755012,0.24840344688873564,0.7289578675932188,0.01895201361533577,4.054883957893678,30
cvar,100,0.0,355.4380693853894,355.4380693853894,0.0,0.009999999999999997,0.9999999999999997,0.018766978232792244,0.0,30
cvar,100,0.5,355.4380693853894,351.9778786189423,0.9735003266336398,0.032051890526095334,0.9696179140933476,0.018778534933170485,0.1567277184601315,30
cvar,100,1.0,355.4380693853894,341.98567782775797,3.7847357152521224,0.08010320691493054,0.8835398452638974,0.01881466689761553,0.8472772935735179,30
cvar,100,1.5,355.4380693853894,327.34748541330515,7.903088158411815,0.1554656797537292,0.7632799998383105,0.018873698709309317,2.1767323378245966,30
