method,m,heterogeneity,replication,seed,equal_objective,optimized_objective,improvement_percent,max_share,entropy,exact_joint_violation,alpha_allocation
bernstein,20,0.0,0,7,69.23273530409142,69.23273530409142,0.0,0.04999999999999999,1.0,0.005355342024033333,"[0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025]"
cantelli,20,0.0,0,7,399.49968710876345,399.49968710876345,0.0,0.04999999999999999,1.0,9.091232271089766e-88,"[0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025]"
cvar,20,0.0,0,7,62.08714726407079,62.08714726407078,2.2888561226303407e-14,0.049999999999999996,1.0,0.018897541258535065,"[0.002500000000000001,0.002500000000000001,0.002500000000000001,0.002500000000000001,0.002500000000000001,0.002500000000000001,0.002500000000000001,0.002500000000000001,0.002500000000000001,0.002500000000000001,0.002500000000000001,0.002500000000000001,0.002500000000000001,0.002500000000000001,0.002500000000000001,0.002500000000000001,0.002500000000000001,0.002500000000000001,0.002500000000000001,0.002500000000000001]"
bernstein,20,0.5,0,7,69.23273530409142,68.87052577243463,0.5231766881170482,0.09447141783886975,0.9772469614559193,0.00538829442362465,"[0.0015572991230525428,0.003242626815953965,0.001746445487523697,0.002490286883403911,0.002819304939279975,0.0020077742605455664,0.0012302495875737673,0.00431847112838446,0.002566980676486608,0.002600426202433567,0.0021174618583755045,0.0030190818804776334,0.002258232196375727,0.0016188911842505021,0.004723570891867245,0.0030291849026170044,0.0018605526749094908,0.003732971146531896,0.0012170633657979176,0.0018431247933519746]"
cantelli,20,0.5,0,7,399.49968710876357,391.87612320726413,1.9082778153525628,0.0748949920023405,0.9914080463650222,4.140876295212545e-60,"[0.0019017338634685966,0.002980052738770407,0.002040650593821208,0.002536569015782001,0.0027363795289569682,0.002223074495113795,0.0016445410337267948,0.003546806696521525,0.002584053192088569,0.0026045810853175927,0.0022967832826926923,0.002853101411082113,0.002389172898668912,0.0019476710904822677,0.003744749600154862,0.0028589196273587597,0.0021215580905553553,0.0032466323833735804,0.0016336376725018626,0.0021093317000673356]"
cvar,20,0.5,0,7,62.0871472640708,61.71437586610807,0.6004002670266808,0.09446046504954447,0.9772500695993596,0.01890714000100673,"[0.0015572978365377473,0.003242679460174514,0.0017464810442043524,0.0024903999403458597,0.0028194103674633,0.0020078505026426127,0.001230174221248421,0.004318154410655177,0.0025670944538828495,0.0026005398263962997,0.002117551104099043,0.0030191686058087903,0.002258334259521531,0.0016189024915679428,0.004723023252477223,0.0030292703904613374,0.0018606075856970425,0.0037328985045855835,0.001216984841167962,0.0018431769010624145]"
bernstein,20,1.0,0,7,69.23273530409142,67.84989214944424,1.997383388903103,0.1567356381612526,0.9141165934545007,0.005481739604446056,"[0.0008517015382743772,0.003675981113393062,0.001069536311824235,0.0021681589428573698,0.002778121141157349,0.0014114354310746087,0.0005335455245013654,0.006538949755412542,0.002303504441976567,0.0023638267423894818,0.0015691333391032777,0.00318592661875638,0.0017838511796558181,0.0009199088509975154,0.007836781908200342,0.003207304524271233,0.001212973637770429,0.004876609663442558,0.0005222695063691082,0.0011904798294510098]"
cantelli,20,1.0,0,7,399.4996871087635,370.8312558816543,7.176083524517074,0.10661587496592977,0.9663288487094743,8.827162462055276e-43,"[0.0013746947707321778,0.0033754529642596176,0.0015828289169579545,0.0024455202847726105,0.002845972437613216,0.0018784283965723899,0.0010280650293177235,0.0047818836667656555,0.002537934619655655,0.002578417337429004,0.002005042697241277,0.0030939590324302606,0.0021695806790905563,0.0014418977144180604,0.005330793748244311,0.003106591712023176,0.0017108093500844696,0.0040064955112284525,0.0010144807982272357,0.0016911503324468034]"
cvar,20,1.0,0,7,62.08714726407078,60.66411147236924,2.2919973849805686,0.15667781118649285,0.9141434729117663,0.018934945661803596,"[0.0008516620440118571,0.003676478643977653,0.0010695801149676449,0.002168576288165453,0.002778644398943872,0.0014116114336301373,0.0005334030119955112,0.006537715697635318,0.002303953086880909,0.0023642879655887674,0.0015693672441637176,0.003186466532953357,0.0017841583557737318,0.000919894915617354,0.007833890559324643,0.0032078440355866877,0.0012130734665979632,0.004876697155255623,0.0005221241608348862,0.001190570888094919]"
bernstein,20,1.5,0,7,69.23273530409142,66.36251061296174,4.145762374580133,0.231345610357567,0.8248430998495199,0.005618575904046178,"[0.0004161387762382061,0.0036972856597245305,0.0005842663960952314,0.001677277131252456,0.002430173209032875,0.0008835625624386466,0.0002074100554626346,0.008795982692541799,0.0018361921671764254,0.0019085566647221058,0.001034838033866392,0.0029834816025027635,0.0012531998955507989,0.00046674516642905876,0.011567280517820966,0.0030135294361794797,0.0007048363703441397,0.005652886081345164,0.00020092044108685388,0.0006854371399414294]"
